date,Australia,Canada,China,Denmark,Hong Kong,India,Japan,Malaysia,New Zealand,Norway,Singapore,South Africa,Srilanka,Sweden,Switzerland,Thailand,United Kingdom
1/2/1981,0.8473,1.1948,1.5341,6.064,5.135,7.89,202.5,2.217,1.04,5.195,2.093,0.7457,16.75,4.4,1.79,20.661,0.4198
1/5/1981,0.8441,1.1886,1.5418,5.982,5.127,7.81,199.05,2.215,1.0358,5.137,2.081,0.7437,16.75,4.354,1.757,20.661,0.414
1/6/1981,0.841,1.1882,1.5264,5.957,5.13,7.89,199.7,2.2085,1.0315,5.118,2.08,0.741,16.75,4.3,1.7505,20.661,0.4128
1/7/1981,0.841,1.188,1.5264,5.9925,5.131,7.86,201.05,2.2105,1.0311,5.1275,2.08,0.7371,16.75,4.355,1.767,20.661,0.4147
1/8/1981,0.8428,1.1879,1.5264,6.043,5.144,7.95,201.7,2.214,1.0347,5.143,2.0815,0.7386,16.75,4.378,1.7746,20.661,0.4161
1/9/1981,0.8437,1.1883,1.5371,6.066,5.148,7.95,203,2.223,1.0365,5.145,2.0865,0.7398,16.75,4.392,1.797,20.661,0.4175
1/12/1981,0.8475,1.1894,1.5371,6.1075,5.15,7.93,204.1,2.227,1.039,5.1675,2.0835,0.7471,16.75,4.411,1.805,20.661,0.4172
1/13/1981,0.848,1.1903,1.5449,6.15,5.172,7.99,203.3,2.2375,1.0417,5.191,2.0945,0.7502,16.75,4.442,1.812,20.661,0.4188
1/14/1981,0.8469,1.1909,1.5449,6.1225,5.1795,7.97,203.05,2.2265,1.0417,5.181,2.0875,0.7477,16.75,4.4265,1.807,20.661,0.4162
1/15/1981,0.8464,1.1898,1.5449,6.152,5.177,7.96,201.75,2.228,1.0406,5.202,2.085,0.7485,16.75,4.438,1.8155,20.661,0.4166
1/16/1981,0.8483,1.1919,1.5557,6.173,5.184,7.97,202.9,2.224,1.042,5.235,2.079,0.7502,16.75,4.45,1.822,20.661,0.4178
1/19/1981,0.8467,1.1901,1.5557,6.175,5.181,7.97,202.3,2.221,1.0406,5.23,2.0765,0.749,16.75,4.4525,1.829,20.661,0.4158
